Table 7.1. Current-Cost Net Stock of Government Fixed Assets
Table 7.1. Current-Cost Net Stock of Government Fixed Assets
"Last Revised on: September 26, 2025"
Line,,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,
1,"        Government fixed assets 1",14407.3,15158.5,15691.0,16255.2,18144.9,20047.3,20591.5,21272.0
2,"          Equipment",1014.2,1045.3,1075.6,1111.3,1190.8,1263.5,1314.6,1347.5
3,"          Structures",12198.7,12868.3,13345.4,13804.8,15517.6,17235.2,17663.9,18216.2
4,"            Residential",428.4,448.9,462.0,481.6,530.7,563.8,570.9,598.5
5,"            Industrial 2",81.9,84.5,86.1,87.6,95.7,102.8,106.1,108.7
6,"            Office",868.4,926.5,967.2,1006.7,1171.1,1400.2,1418.6,1471.6
7,"            Commercial",64.9,68.6,71.3,72.5,78.3,85.4,88.5,90.9
8,"            Health care",306.8,325.2,338.0,345.1,390.7,463.2,464.9,479.1
9,"            Educational",2548.0,2725.9,2895.1,2970.3,3320.4,3918.2,3937.9,4080.4
10,"            Public safety",291.5,305.9,318.6,330.8,354.7,379.1,391.3,408.0
11,"            Amusement and recreation",298.3,317.4,334.2,342.8,367.4,394.5,412.5,437.5
12,"            Transportation",818.1,867.7,906.1,954.9,1084.3,1153.6,1206.6,1256.4
13,"            Power",390.6,410.7,425.2,440.4,491.1,548.2,565.8,573.7
14,"            Highways and streets",3587.2,3756.8,3854.3,3977.0,4456.2,4700.1,4868.9,5020.6
15,"            Military facilities 3",621.1,636.3,641.5,667.3,740.9,789.4,804.2,817.4
16,"            Conservation and development",431.1,454.1,468.3,475.6,525.7,586.3,606.4,613.5
17,"            Other structures 4",1462.1,1539.3,1577.0,1651.7,1909.8,2149.8,2220.6,2259.1
18,"          Intellectual property products",1194.4,1244.9,1270.0,1339.0,1436.4,1548.6,1613.0,1708.3
19,"            Software",118.2,129.7,138.2,147.5,160.9,179.3,193.4,213.9
20,"            Research and development",1076.2,1115.3,1131.8,1191.6,1275.5,1369.3,1419.6,1494.4
21,Federal,3422.7,3547.2,3626.7,3766.5,4107.1,4442.1,4570.2,4710.1
22,"  National defense",1773.0,1815.8,1846.7,1914.8,2078.3,2206.0,2267.9,2330.2
23,"    Equipment",636.0,654.6,677.9,699.0,742.2,774.6,805.9,832.1
24,"      Aircraft",168.4,176.6,187.4,187.7,189.1,190.7,196.1,201.4
25,"      Missiles",53.4,52.9,53.1,55.9,58.4,60.4,61.2,63.4
26,"      Ships",155.2,160.3,167.2,174.7,189.4,202.5,215.8,222.9
27,"      Vehicles",28.8,26.3,23.8,24.7,26.6,26.7,28.3,28.8
28,"      Electronics",35.2,35.4,35.6,36.3,39.3,42.1,43.6,45.8
29,"      Other equipment",194.9,203.1,210.9,219.7,239.3,252.2,260.9,269.8
30,"    Structures",819.4,841.4,850.3,884.2,986.3,1057.5,1074.4,1090.5
31,"      Buildings",198.3,205.1,208.8,217.0,245.4,268.2,270.2,273.1
32,"        Residential",116.7,121.1,123.2,129.9,150.3,166.1,164.9,165.3
33,"        Industrial",81.9,84.5,86.1,87.6,95.7,102.8,106.1,108.7
34,"      Military facilities 3",621.1,636.3,641.5,667.3,740.9,789.4,804.2,817.4
35,"    Intellectual property products",317.6,319.8,318.4,331.5,349.9,374.0,387.6,407.6
36,"      Software",24.0,26.2,28.4,30.5,33.4,37.2,40.4,44.8
37,"      Research and development",293.6,293.7,290.1,301.1,316.4,336.7,347.2,362.8
38,"  Nondefense",1649.7,1731.5,1780.0,1851.7,2028.8,2236.1,2302.3,2379.8
39,"    Equipment",129.9,135.8,139.8,147.6,162.8,178.0,184.6,191.4
40,"    Structures",783.9,821.7,846.0,862.6,956.3,1073.5,1094.4,1106.0
41,"      Office",101.6,106.6,109.5,110.2,127.0,151.4,151.0,153.4
42,"      Commercial",42.4,45.0,46.8,47.5,51.9,57.5,59.9,61.1
43,"      Health care",68.9,73.3,76.3,77.8,88.0,104.6,105.3,106.8
44,"      Educational",47.0,48.9,50.4,50.1,54.5,62.7,61.5,61.7
45,"      Public safety",77.5,80.5,84.2,91.5,100.0,108.1,109.8,110.6
46,"      Amusement and recreation",30.6,32.0,33.1,33.8,36.8,40.2,41.4,42.3
47,"      Transportation",26.7,27.5,27.8,28.5,31.7,33.6,35.0,35.8
48,"      Power",19.6,20.6,21.1,21.4,23.7,26.6,27.5,27.8
49,"      Highways and streets",40.5,42.0,42.8,44.0,49.2,52.3,54.2,54.9
50,"      Conservation and development",287.8,302.0,310.2,313.7,345.2,382.9,393.6,395.2
51,"      Other structures 4",41.1,42.8,43.3,43.6,47.7,52.9,54.6,55.4
52,"    Intellectual property products",735.9,774.0,794.2,841.5,909.7,984.6,1023.3,1082.4
53,"      Software",56.3,61.4,64.9,69.1,75.2,84.3,90.8,100.2
54,"      Research and development",679.6,712.6,729.2,772.5,834.5,900.3,932.5,982.3
55,State and local,10984.6,11611.3,12064.3,12488.7,14037.8,15605.2,16021.3,16561.9
56,"  Equipment",248.2,255.0,257.8,264.7,285.9,310.9,324.1,324.0
57,"  Structures",10595.4,11205.2,11649.0,12058.0,13575.1,15104.3,15495.0,16019.8
58,"    Residential",312.0,328.3,339.3,352.3,381.0,398.4,406.8,434.1
59,"    Office",766.8,819.9,857.7,896.5,1044.1,1248.8,1267.6,1318.2
60,"    Commercial",22.5,23.6,24.4,25.0,26.4,27.9,28.6,29.8
61,"    Health care",237.9,251.9,261.7,267.3,302.7,358.6,359.6,372.3
62,"    Educational",2501.1,2677.0,2844.7,2920.2,3265.9,3855.5,3876.4,4018.7
63,"    Public safety",214.0,225.3,234.4,239.4,254.7,271.0,281.6,297.4
64,"    Amusement and recreation",267.7,285.4,301.2,309.0,330.6,354.3,371.2,395.2
65,"    Transportation",791.4,840.2,878.3,926.4,1052.6,1120.0,1171.6,1220.6
66,"    Power",370.9,390.2,404.1,419.0,467.4,521.6,538.3,545.8
