Gross Output by Industry
Gross Output by Industry
"Last Revised on: April 9, 2026"
Line,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        All industries",15393.6,16217.0,17273.4,18625.7,18884.5,19173.8,20140.7,21689.1,23517.9,24925.5,26250.3,27024.9,24959.3,26479.5,28050.3,29232.2,30388.8,31795.7,32233.9,32898.1,34468.1,36504.5,37658.0,36714.6,41833.3,46611.2,48540.3,50736.6,53003.9
2,Private industries,13727.9,14486.7,15438.7,16674.6,16804.1,16957.8,17797.7,19209.6,20893.9,22147.5,23316.2,23902.1,21730.8,23141.5,24684.4,25840.9,26957.2,28298.6,28662.7,29246.2,30720.5,32562.6,33529.5,32447.0,37249.1,41698.3,43405.6,45309.1,47335.4
3,"    Agriculture, forestry, fishing, and hunting",257.9,249.8,245.3,243.6,251.4,241.9,269.3,308.6,300.2,304.0,349.3,372.6,339.0,366.6,429.5,451.1,487.4,498.6,457.9,430.9,448.9,448.1,439.0,444.8,537.0,642.2,638.0,633.8,642.9
4,"        Farms",219.4,207.8,199.9,204.3,212.3,202.4,227.9,263.2,253.6,256.2,304.8,327.9,297.7,320.9,380.3,404.2,437.6,442.2,403.2,379.8,395.5,395.1,388.1,390.9,475.4,576.7,570.0,565.7,575.2
5,"        Forestry, fishing, and related activities",38.5,41.9,45.4,39.3,39.0,39.5,41.4,45.4,46.6,47.8,44.6,44.8,41.3,45.7,49.2,46.9,49.8,56.4,54.7,51.1,53.4,53.1,51.0,53.8,61.7,65.6,68.0,68.1,67.7
6,"    Mining",177.2,151.9,156.1,218.5,226.6,196.0,252.9,300.1,394.5,445.2,476.3,614.6,404.9,500.1,601.8,613.4,655.3,727.6,481.5,367.7,462.8,585.6,557.7,384.1,613.5,890.6,724.5,706.4,704.2
7,"        Oil and gas extraction",98.8,72.9,85.5,143.0,142.3,116.7,166.0,191.0,249.2,257.4,276.9,388.4,227.6,304.7,372.9,362.6,412.8,445.7,241.5,199.8,254.0,346.6,316.0,211.1,420.0,653.8,467.7,456.0,454.6
8,"        Mining, except oil and gas",56.4,55.5,53.1,54.7,55.1,54.4,57.4,67.3,84.3,100.8,104.5,116.2,104.9,112.7,130.9,124.6,114.4,116.1,104.4,94.8,101.9,106.9,106.1,96.7,117.1,138.1,141.3,139.9,152.1
9,"        Support activities for mining",22.1,23.4,17.5,20.9,29.2,24.8,29.5,41.7,61.0,86.9,94.9,110.0,72.4,82.7,98.0,126.2,128.2,165.8,135.5,73.1,106.9,132.0,135.6,76.3,76.4,98.7,115.6,110.6,97.6
