eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes
20220001,USPS,DC,6000,2022,web,https://about.usps.com/newsroom/national-releases/2022/0324-usps-places-order-for-next-gen-delivery-vehicles-to-be-electric.htm,USPS places order for next-gen delivery vehicles,about.usps.com,2022-03-24,NA,"The contract, which is valued at $6 billion, was awarded to Oshkosh Defense.",high,FALSE,NA,USPS NGDV acquisition program (50-165K vehicles over 10yr). Initial 50K order = $2.98B; full contract $6B.
20220009,FTA,OR,2750,2022,web,https://en.wikipedia.org/wiki/Southwest_Corridor_(TriMet),Southwest Corridor TriMet,wikipedia.org,2022,NA,"At an estimated cost of $2.6 billion to $2.9 billion, the project was included in a regional transportation funding measure.",medium,FALSE,NA,Project paused 2020 after voter rejection. EIS completed. 12-mile MAX extension.
20220018,CHSRA,CA,3500,2022,web_imputed,https://hsr.ca.gov/project-overview/,California High-Speed Rail Program: San Jose to Merced,hsr.ca.gov,2022,NA,Segment-specific cost not stated; imputed from $/mile of nearby segments.,low,TRUE,CHSRA-segment $/mile (~$40M/mile for non-tunneled <c3><97> 89 mi),"San Jose-Merced segment. 89 miles, mostly at-grade or blended with UPRR alignment."
20220019,DOD,ID,300,2022,web,https://en.wikipedia.org/wiki/Project_Pele,Project Pele Mobile Microreactor,wikipedia.org,2022,NA,The estimated cost of this prototype is approximately 300 million USD.,high,FALSE,NA,BWXT-built 1-5 MWe microreactor at INL. Delivered 2024.
20220023,USAF,TX,72,2022,web,https://jbsa.t-7anepadocuments.com/about,T-7A JBSA Recapitalization,jbsa.t-7anepadocuments.com,2022,NA,The estimated cost for delivering T-7A infrastructure at JBSA over the next 5-10 years is $72 million.,high,FALSE,NA,Up to 72 T-7A aircraft replacing T-38C at JBSA-Randolph.
20220026,FERC,UT,200,2022,sector_impute_pending,NA,NA,NA,NA,NA,Kern River Delta Lateral <e2><80><94> 35-mile 24-inch pipeline to IPP Delta UT. Cost not stated. Typical mid-size pipeline ~$5-6M/mile <c3><97> 35 mi.,low,TRUE,Mid-size FERC pipeline $/mile (~$5-6M/mile),"Operates by Kern River Gas Transmission (not Dominion). 140,000 Dth/d capacity."
20220030,BR,WY,89,2024,web,https://wyofile.com/hyattville-dam-cost-jumps-69-to-59m/,Hyattville dam cost jumps 69% to $59M,wyofile.com,2024,NA,Big Horn County's Upper Leavitt Reservoir expansion is now estimated to cost $89 million.,medium,FALSE,NA,BR adoption of WY state EIS. State-funded with limited federal share.
20220036,FERC,WY,200,2022,sector_impute_pending,NA,NA,NA,NA,NA,"Clear Creek Expansion (Spire). Major storage capacity expansion (5x compression, 5x storage). Cost not published.",low,TRUE,FERC-storage-expansion-median (~$200M for major compression/storage),"Compression from 3,740 to 24,340 hp; storage from 4 to 20 Bcf."
20220038,FERC,WI,80,2022,sector_impute_pending,NA,NA,NA,NA,NA,"Wisconsin Access Project (ANR/TC Energy). 50,707 Dth/d capacity increase via existing pipeline + meter station modifications. Small project.",low,TRUE,Small-FERC-meter-station-modification (~$50-100M),NA
20220049,FHWA,NY,2250,2022,web,https://www.enr.com/articles/54131-ny-moves-ahead-on-syracuse-i-81-viaduct-replacement-project,NY Moves Ahead on Syracuse I-81 Viaduct Replacement Project,enr.com,2022,NA,"The I-81 Viaduct project is a $2.25 billion project, with a $2.3-billion interstate highway replacement project mentioned in more recent reporting.",high,FALSE,NA,1.4-mile elevated viaduct removal + Community Grid Alternative.
20220050,FERC,LA,400,2022,web_imputed,https://semprainfrastructure.com/what-we-do/energy-networks/la-storage-hackberry/,LA Storage Hackberry - Sempra Infrastructure,semprainfrastructure.com,2023,NA,20-bcf natural gas salt dome storage + 3 conversions + 16 miles 42-inch pipeline. Cost not stated.,low,TRUE,FERC-major-storage-project-median (~$400M),"Sempra LA Storage Hackberry. Phase 1 FID Sept 2023, construction start Mar 2025."
20220053,MARAD,CA,1567,2022,web,https://www.enr.com/articles/58291-15b-rail-facility-set-to-begin-at-port-of-long-beach,$1.5B Rail Facility Set to Begin at Port of Long Beach,enr.com,2024,NA,The overall project cost is $1.567 billion.,high,FALSE,NA,Pier B On-Dock Rail Support Facility. 10 construction projects in $1.815B program. Triples on-dock rail capacity to 4.7M TEU.
20220057,FHWA,MD,7150,2022,web,https://www.nbcwashington.com/news/local/maryland-transit-officials-approve-15b-bay-bridge-replacement-plan/4031236/,Maryland officials approve $15B Bay Bridge replacement plan,nbcwashington.com,2025-12-18,NA,Tier 1 study estimated $5.4-8.9B; Tier 2 now $14.8-16B. Midpoint of Tier 1 used as 2022-vintage figure.,medium,FALSE,NA,Tier 1 NEPA for Chesapeake Bay Crossing. Replacement of 1952/1973 dual-span Bay Bridge.
20220068,TVA,AL,200,2022,web_imputed,https://www.federalregister.gov/documents/2022/07/01/2022-14125/north-alabama-utility-scale-solar-facility-environmental-impact-statement,North Alabama Utility-Scale Solar Facility EIS,federalregister.gov,2022-07-01,NA,Approximately 200 MW solar PV + 200 MWh BESS. Cost not stated.,low,TRUE,Solar+BESS capex (200 MW @ $1M/MW + 200 MWh @ $300/kWh),NA
20220070,DOE,ID,4500,2022,web,https://www.enr.com/articles/50801-bechtel-team-to-build-3b-6b-nuclear-test-reactor-in-idaho,Bechtel Team to Build $3B-$6B Nuclear Test Reactor in Idaho,enr.com,2020-11-24,NA,The project will cost from $3 billion to $6 billion.,medium,FALSE,NA,Versatile Test Reactor at INL. Funding cancelled in 2022 but EIS completed; counts for exposure measure. Midpoint $4.5B used.
20220074,CHSRA,CA,3500,2022,web_imputed,https://www.permits.performance.gov/permitting-project/dot-projects/california-high-speed-rail-program-san-francisco-san-jose-project,California HSR Program: San Francisco to San Jose Project Section,permits.performance.gov,2022,NA,Segment cost may range from $2.0 billion to $5.0 billion per CHSRA.,medium,FALSE,NA,SF-SJ segment. Caltrain electrification + HSR-ready infrastructure.
20220078,FRA,CA,1000,2022,web,https://secretlosangeles.com/1-billion-train-la-to-coachella-valley/,The $1 Billion Train Route From LA To Coachella Valley,secretlosangeles.com,2022,NA,The project is estimated to cost $1 billion.,high,FALSE,NA,Coachella Valley-San Gorgonio Pass Rail Corridor Service. LA-Indio Amtrak service plan.
20220081,FHWA,MD,3700,2022,web,https://www.constructiondive.com/news/maryland-announces-p3-short-list-for-first-phase-of-9b-plus-capital-beltwa/582586/,Maryland P3 short list for first phase of $9B-plus Capital Beltway,constructiondive.com,2022,NA,The first phase of the project would cost about $3.7 billion. With the total project estimated value at $9 billion.,high,FALSE,NA,I-495 & I-270 Managed Lanes (HOT lanes). Phase 1 used; total program ~$9B.
20220087,FERC,LA,75,2022,sector_impute_pending,NA,NA,NA,NA,NA,Golden Pass Pipeline MP66-69 Compressor Relocation. ~3-mile pipeline relocation + compressor mods. Cost not published.,low,TRUE,Small-compressor-relocation (~$50-100M),Connected action with Golden Pass LNG.
20220108,TVA,TN,0,2022,reclassified_to_ii,NA,NA,NA,NA,NA,"Clinch River Advanced Nuclear Reactor Technology Park PEIS <e2><80><94> programmatic, not specific project. Should be (ii).",high,FALSE,NA,TVA programmatic EIS <e2><80><94> Final EIS title literally says 'Programmatic'. Underlying project (Clinch River SMR) has its own EIS 20230107.
20220109,FERC,PA,950,2023,web,https://www.utilitydive.com/news/ferc-transco-gas-pipeline-ghg-policy-review/738349/,FERC reinstates Transco gas pipeline approval,utilitydive.com,2025,NA,FERC in January 2023 approved Transco's roughly $950 million Regional Energy Access expansion project.,high,FALSE,NA,Williams/Transco. 829 MMcf/d into existing interstate system.
