panel_year,eis_number,lead_agency,naics_code,cost_m_usd_nominal,funding_source,funding_source_basis,title
2015,20140385,BLM,212,300,private,agency default (BLM),Long Canyon Mine
2015,20150016,FHWA,237310,100,gov_state_local,agency default (FHWA),"SR 997/SW 177th Avenue/Krome Avenue South, Contact: Cathy Kendall 850-553-2225. Under MAP-21 section 1319, FTA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2015,20150024,FHWA,237310,90,gov_state_local,agency default (FHWA),I-395/Route 9 Transportation System
2015,20150035,FHWA,237310,300,gov_state_local,agency default (FHWA),"US 69/Loop 49 North Lindale Reliever Route, from IH 20 Southwest of Lindale to US 69 North of Lindale"
2015,20150050,USA,236,400,gov_federal,agency default (USA),The Modernization and Repair of Piers 2 and 3 at Military Ocean Terminal Concord
2015,20150052,FTA,485,360,gov_state_local,agency default (FTA),"Redlands Passenger Rail Project, Contact: Dominique Paukowits, 415-744-2735. Under MAP-21 Section 1319, FTA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2015,20150064,USACE,488,400,mixed,override: Port Everglades <e2><80><94> Broward Port non-fed sponsor,Port Everglades Harbor Navigation
2015,20150077,USFS,713,30,private,agency default (USFS),Eldora Mountain Resort Ski Area Projects
2015,20150082,BR,2213,0,gov_federal,agency default (BR),"Long-term Water Transfers, Contact: Russ Grimes 916-978-5051. Revision to FR Notice Published 03/27/2015; Officially Withdrawn per request of the submitting agency. Dated: October 8, 2019. Cindy S. Barger, Acting Director, Office of Federal Activities. [FR Doc. 2019-22293 Filed 10-10-19; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2015,20150085,FTA,485,2900,gov_state_local,agency default (FTA),Lynnwood Link Extension
2015,20150091,CALTRANS,237310,1000,gov_state_local,agency default (CALTRANS),San Diego Freeway [[Page 18227]] (I-405) Improvement Project
2015,20150092,BOP,236,400,gov_federal,agency default (BOP),Leavenworth Federal Correctional Institution and Federal Prison Camp
2015,20150094,FERC,2211,0,private,agency default (FERC),"Martin Dam Hydroelectric Project, FERC Project No. 349-173"
2015,20150114,FHWA,237310,1800,gov_state_local,agency default (FHWA),Mid County Parkway
2015,20150116,DOE,9281,0,private,agency default (DOE),"ADOPTION--Corpus Christi Liquefied Natural Gas (LNG) Project, Contact: John Anderson 202-586- 0521. The U.S. Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's FEIS #20140302, filed with the U.S. EPA on 10/ 08/2014. DOE was a cooperating agency on the project and recirculation of the document is not necessary under Section 1506.3(c) of the CEQ Regulations. Dated: April 21, 2015. Cliff Rader, Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2015-09611 Filed 4-23-15; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2015,20150121,BLM,2211,3000,private,agency default (BLM),TransWest Express Transmission Project
2015,20150131,FHWA,237310,200,gov_state_local,agency default (FHWA),"US 281, Review Period Ends: 06/22/ 2015, Contact: Carlos Swonke 512 416-2734."
2015,20150153,STB,482,124,private,agency default (STB),Six County Association of Governments Construction and Operation between Levan and Salina
2015,20150163,BLM,2211,700,private,agency default (BLM),Soda Mountain Solar Project Proposed Plan Amendment
2015,20150181,USACE,237310,0,gov_state_local,title hint: highway (state DOT pays),"Adoption--Interstate 5 North Coast Corridor Project, Contact: Stephanie J. Hall 213-452-3410. The U.S. Department of the Army's Corps of Engineers (USACE) has adopted the U.S. Department of Transportation's Federal Highway Administration's FEIS #20130332, filed 11/15/2013. The USACE was a cooperating agency on the project. Recirculation of the document is not necessary under 1506.3(b) of the CEQ Regulations. Dated: June 29, 2015. Dawn Roberts, Management Analyst, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2015-16329 Filed 7-1-15; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2015,20150188,USACE,488,580,mixed,override: Charleston Harbor Post 45 <e2><80><94> SCSPA non-fed sponsor,Charleston Harbor Post 45
2015,20150202,FHWA,237310,0,gov_state_local,agency default (FHWA),"ADOPTION--I-12 to Bush, Louisiana Proposed Highway, review period ends: 08/24/2015, Contact: Carl Highsmith 225-757-7615. The U.S. Department of Transportation's Federal Highway Administration (FHWA) and Louisiana Department of Transportation has adopted the U.S. Army Corps of Engineers' final EIS #20120055, filed 02/29/2012 with EPA. The FHWA was not a cooperating agency for the above EIS. Therefore recirculation of the EIS is necessary under the CEQ Regulations Section 1506.3. Dated: July 21, 2015. Dawn Roberts, Management Analyst, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2015-18204 Filed 7-23-15; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2015,20150204,BOP,236,0,gov_federal,agency default (BOP),U.S. Penitentiary and Federal Prison Camp
2015,20150220,FHWA,237310,80,gov_state_local,agency default (FHWA),US-95 Thorncreek Road to Moscow
2015,20150222,BR,2213,1400,mixed,override: Shasta Lake <e2><80><94> CA state water contractors + BR (never built),Shasta Lake Water Resources Investigation
2015,20150224,USFS,713,20,private,agency default (USFS),Breckenridge Multi-Season Recreation Projects
2015,20150225,FRA,482,4000,private,override: Brightline All Aboard Florida <e2><80><94> private rail (FECI),"All Aboard Florida Intercity Passenger Rail Project, Orlando to Miami, Florida"
2015,20150233,FERC,2211,11000,private,agency default (FERC),Lake Charles Liquefaction Project
2015,20150246,FHWA,237310,50,gov_state_local,agency default (FHWA),Eastern Hills Drive and Connecting Roadways
2015,20150259,FRA,482,4000,mixed,override: SE HSR Richmond-Raleigh <e2><80><94> NCDOT + FRA,"Southeast High Speed Rail, Richmond, VA, to Raleigh, NC"
2015,20150260,BR,2213,0,gov_federal,agency default (BR),Central Valley Project Municipal and Industrial Water Shortage Policy
2015,20150264,FHWA,237310,130,gov_state_local,agency default (FHWA),Pellissippi Parkway Extension (State Route 162) from State Route 33 (Old Knoxville Highway) to US 321/State Route 73/Lamar Alexander Parkway
2015,20150265,BR,2213,100,mixed,BR water infra (mixed with sponsor share),"North Valley Regional Recycled Water Program, review period ends: 10/26/2015, Contact: Rain Emerson 559-487- 5196."
2015,20150269,FHWA,488,7200,gov_state_local,agency default (FHWA),"Cross Harbor Freight Program, review period ends: 10/26/2015, Contact: Peter Osborn 518-431-4127."
2015,20150270,FHWA,237310,240,gov_state_local,agency default (FHWA),"US Highway 53 from Virginia to Eveleth Minnesota, Contact: Philip Forst 651-291-6110. Under MAP-21 Section 1319, FHWA has issued a single FEIS and ROD. Therefore, the 30- day wait/review period under NEPA does not apply to this action."
2015,20150280,FTA,485,700,gov_state_local,agency default (FTA),Link Light Rail Operations and Maintenance Facility
2015,20150285,FERC,486,0,private,agency default (FERC),Jordan Cove Energy and Pacific Connector Gas Pipeline Project
2015,20150299,NRC,2211,300,private,override: SHINE Medical <e2><80><94> private,"Construction Permit for the SHINE Medical Radioisotope Production Facility, Final Report, NUREG-2183"
2015,20150307,DOE,2211,1600,private,override: TDI New England Clean Power Link <e2><80><94> private HVDC,New England Clean Power Link Project
2015,20150310,DOE,2211,710,private,override: Minnesota Power Great Northern Transmission <e2><80><94> investor-owned utility,Great Northern Transmission Line Project
2015,20150316,DOE,2211,2500,private,override: Plains and Eastern Clean Line <e2><80><94> private (cancelled),Plains and Eastern Clean Line Transmission Line Project
2015,20150319,BLM,486,0,private,agency default (BLM),"ADOPTION--Jordan Cove Energy and Pacific Connector Gas Pipeline Project, Contact: Miriam Liberatore 540- 618-2400. The U.S. Department of the Interior's Bureau of Land Management is adopting the U.S. Federal Energy Regulatory Commission's FEIS #20150285, filed 09/30/2015 with EPA. BLM was a cooperating agency for the above project. Therefore, recirculation of the document is not necessary under Section 1506.3(c) of the Council on Environmental Quality Regulations."
2015,20150324,FRA,482,0,gov_state_local,agency default (FRA),"Coast Corridor Improvements, Contact: Melissa Hatcher 202-493-6075 Under MAP-21 Section 1319, FRA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2015,20150325,FERC,486,4400,private,agency default (FERC),Magnolia LNG and Lake Charles Expansion Projects
2015,20150331,USFS,486,0,private,agency default (USFS),"ADOPTION--Jordan Cove Energy and Pacific Connector Gas Pipeline Project, Contact: Wes Yamamoto 541-825- 3150. The U.S. Department of Agriculture's Forest Service is adopting the U.S. Federal Energy Regulatory Commission's FEIS #20150285, filed 09/ 30/2015 with EPA. USFS was a cooperating agency for the above project. Therefore, recirculation of the document is not necessary under Section 1506.3(c) of the Council on Environmental Quality Regulations. Dated: November 17, 2015. Karin Leff, Acting Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2015-29685 Filed 11-19-15; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2015,20150341,NPS,9241,0,gov_federal,agency default (NPS),East Everglades Expansion Area Land Acquisition
2015,20150345,FHWA,237310,200,gov_state_local,agency default (FHWA),US 70 Havelock Bypass
2015,20150347,FERC,2211,0,private,agency default (FERC),Merced River and Merced Falls Hydroelectric Projects
2015,20150360,FERC,486,3000,private,agency default (FERC),Southeast Market Pipelines Project
