go_line,go_label,s_avg,phi_agg_avg,contribution_avg
90,Federal government,0.05760670666615223,0.39536801285474926,0.023267857303141997
95,State and local government,0.13265464989727233,0.09727568367460718,0.012829052041275714
10,Utilities,0.02403311222899021,0.3026020522830185,0.007100396316014472
8,"Mining, except oil and gas",0.004923123959155327,0.43516235809706627,0.002054796461454648
81,"Arts, entertainment, recreation, accommodation, and food services",0.07267841770065245,0.02690342951402163,0.0018333449385824789
42,Rail transportation,0.003420508534623886,0.3313818623660665,0.0011456737275665051
7,Oil and gas extraction,0.017010545307372126,0.04897302484505475,5.113004594215435e-4
47,Other transportation and support activities,0.01366901222806508,0.03703342410671838,4.643235095189766e-4
46,Pipeline transportation,0.0026417597884185067,0.08162420006220499,2.1357660926210392e-4
3,"Agriculture, forestry, fishing, and hunting",0.022532821906861414,0,0
9,Support activities for mining,0.003701889041937528,0,0
11,Construction,0.0848638523552558,0,0
41,Air transportation,0.009588841084097244,0,0
43,Water transportation,0.002270587955015035,0,0
45,Transit and ground passenger transportation,0.004601936627980986,0,0
48,Warehousing and storage,0.006582415779665133,0,0
