panel_year,num_m_2024,den_m_2024,phi,num_b,den_b
2015,21158.774649761053,387887.8948822645,0.05454868514570008,21.16,387.89
2016,53068.89178269947,403398.91264283087,0.13155437488669344,53.07,403.4
2017,8414.3162,410694.20200000005,0.020488032601930908,8.41,410.69
2018,11063.64269214249,432555.5992646332,0.02557738868934133,11.06,432.56
2019,11106.338547465062,441225.81392918556,0.02517155206437575,11.11,441.23
2020,7205.9612084594655,442345.75113240746,0.01629033666540747,7.21,442.35
2021,71984.07212685845,418388.7455060809,0.1720506894605563,71.98,418.39
2022,35318.78791739984,382671.926899947,0.09229521539120963,35.32,382.67
2023,30620.996904345768,420968.6583523418,0.07273937452777457,30.62,420.97
2024,61700,463900,0.13300280232808795,61.7,463.9
