"year","lower","central","upper"
0,0,0,0
0.05,1.33278394756695e-11,2.05039921182312e-11,2.76801447607929e-11
0.1,2.66559431357524e-11,4.10083906665624e-11,5.53608381973724e-11
0.15,3.99840467958354e-11,6.15127892148936e-11,8.30415316339519e-11
0.2,5.33124146403318e-11,8.20175941933249e-11,1.10722773746318e-10
0.25,6.66405183004148e-11,1.02521992741656e-10,1.38403467182898e-10
0.3,7.99686219604977e-11,1.23026391289987e-10,1.66084160619477e-10
0.35,9.32967256205807e-11,1.43530789838319e-10,1.93764854056057e-10
0.4,1.06624829280664e-10,1.6403518838665e-10,2.21445547492636e-10
0.45,1.19952932940747e-10,1.84539586934981e-10,2.49126240929216e-10
0.5,1.3328103660083e-10,2.05043985483312e-10,2.76806934365795e-10
0.55,1.46609668629739e-10,2.25549196891844e-10,3.04488725153948e-10
0.6,1.59937508105409e-10,2.46053189010075e-10,3.32168869914741e-10
0.65,1.73265875949905e-10,2.66557993988506e-10,3.59850112027107e-10
0.7,1.86593715425575e-10,2.87061986106737e-10,3.875302567879e-10
0.75,1.99922083270071e-10,3.07566791085169e-10,4.15211498900266e-10
0.8,2.13250186930154e-10,3.280711896335e-10,4.42892192336846e-10
0.85,2.26578290590237e-10,3.48575588181831e-10,4.70572885773425e-10
0.9,2.3990639425032e-10,3.69079986730162e-10,4.98253579210005e-10
0.95,2.53234762094817e-10,3.89584791708594e-10,5.25934821322371e-10
1,2.665628657549e-10,4.10089190256925e-10,5.5361551475895e-10
1.05,2.79890969414982e-10,4.30593588805256e-10,5.8129620819553e-10
1.1,2.93218808890652e-10,4.51097580923487e-10,6.08976352956323e-10
1.15,3.06547440919562e-10,4.71602792332019e-10,6.36658143744476e-10
1.2,3.19875544579645e-10,4.9210719088035e-10,6.64338837181055e-10
1.25,3.33203912424141e-10,5.12611995858781e-10,6.92020079293421e-10
1.3,3.46531751899811e-10,5.33115987977012e-10,7.19700224054214e-10
1.35,3.59860119744307e-10,5.53620792955444e-10,7.4738146616658e-10
1.4,3.73187959219977e-10,5.74124785073675e-10,7.75061610927373e-10
1.45,3.86516591248887e-10,5.94629996482206e-10,8.02743401715526e-10
